1E0E	1E0F	# Ḏ => ḏ
1E10	1E11	# Ḑ => ḑ
1E12	1E13	# Ḓ => ḓ
1E14	1E15	# Ḕ => ḕ
1E16	1E17	# Ḗ => ḗ
1E18	1E19	# Ḙ => ḙ
1E1A	1E1B	# Ḛ => ḛ
1E1C	1E1D	# Ḝ => ḝ
1E1E	1E1F	# Ḟ => ḟ
1E20	1E21	# Ḡ => ḡ
1E22	1E23	# Ḣ => ḣ
1E24	1E25	# Ḥ => ḥ
1E26	1E27	# Ḧ => ḧ
1E28	1E29	# Ḩ => ḩ
1E2A	1E2B	# Ḫ => ḫ
1E2C	1E2D	# Ḭ => ḭ
1E2E	1E2F	# Ḯ => ḯ
1E30	1E31	# Ḱ => ḱ
1E32	1E33	# Ḳ => ḳ
1E34	1E35	# Ḵ => ḵ
1E36	1E37	# Ḷ => ḷ
1E38	1E39	# Ḹ => ḹ
1E3A	1E3B	# Ḻ => ḻ
1E3C	1E3D	# Ḽ => ḽ
1E3E	1E3F	# Ḿ => ḿ
1E40	1E41	# Ṁ => ṁ
1E42	1E43	# Ṃ => ṃ
1E44	1E45	# Ṅ => ṅ
1E46	1E47	# Ṇ => ṇ
1E48	1E49	# Ṉ => ṉ
1E4A	1E4B	# Ṋ => ṋ
1E4C	1E4D	# Ṍ => ṍ
1E4E	1E4F	# Ṏ => ṏ
1E50	1E51	# Ṑ => ṑ
1E52	1E53	# Ṓ => ṓ
1E54	1E55	# Ṕ => ṕ
1E56	1E57	# Ṗ => ṗ
1E58	1E59	# Ṙ => ṙ
1E5A	1E5B	# Ṛ => ṛ
1E5C	1E5D	# Ṝ => ṝ
1E5E	1E5F	# Ṟ => ṟ
1E60	1E61	# Ṡ => ṡ
1E62	1E63	# Ṣ => ṣ
1E64	1E65	# Ṥ => ṥ
1E66	1E67	# Ṧ => ṧ
1E68	1E69	# Ṩ => ṩ
1E6A	1E6B	# Ṫ => ṫ
1E6C	1E6D	# Ṭ => ṭ
1E6E	1E6F	# Ṯ => ṯ
1E70	1E71	# Ṱ => ṱ
1E72	1E73	# Ṳ => ṳ
1E74	1E75	# Ṵ => ṵ
1E76	1E77	# Ṷ => ṷ
1E78	1E79	# Ṹ => ṹ
1E7A	1E7B	# Ṻ => ṻ
1E7C	1E7D	# Ṽ => ṽ
1E7E	1E7F	# Ṿ => ṿ
1E80	1E81	# Ẁ => ẁ
1E82	1E83	# Ẃ => ẃ
1E84	1E85	# Ẅ => ẅ
1E86	1E87	# Ẇ => ẇ
1E88	1E89	# Ẉ => ẉ
1E8A	1E8B	# Ẋ => ẋ
1E8C	1E8D	# Ẍ => ẍ
1E8E	1E8F	# Ẏ => ẏ
1E90	1E91	# Ẑ => ẑ
1E92	1E93	# Ẓ => ẓ
1E94	1E95	# Ẕ => ẕ
1E9E	DF	# ẞ => ß
1EA0	1EA1	# Ạ => ạ
1EA2	1EA3	# Ả => ả
1EA4	1EA5	# Ấ => ấ
1EA6	1EA7	# Ầ => ầ
1EA8	1EA9	# Ẩ => ẩ
1EAA	1EAB	# Ẫ => ẫ
1EAC	1EAD	# Ậ => ậ
1EAE	1EAF	# Ắ => ắ
1EB0	1EB1	# Ằ => ằ
1EB2	1EB3	# Ẳ => ẳ
1EB4	1EB5	# Ẵ => ẵ
1EB6	1EB7	# Ặ => ặ
1EB8	1EB9	# Ẹ => ẹ
1EBA	1EBB	# Ẻ => ẻ
1EBC	1EBD	# Ẽ => ẽ
1EBE	1EBF	# Ế => ế
1EC0	1EC1	# Ề => ề
1EC2	1EC3	# Ể => ể
1EC4	1EC5	# Ễ => ễ
1EC6	1EC7	# Ệ => ệ
1EC8	1EC9	# Ỉ => ỉ
1ECA	1ECB	# Ị => ị
1ECC	1ECD	# Ọ => ọ
1ECE	1ECF	# Ỏ => ỏ
1ED0	1ED1	# Ố => ố
1ED2	1ED3	# Ồ => ồ
1ED4	1ED5	# Ổ => ổ
1ED6	1ED7	# Ỗ => ỗ
1ED8	1ED9	# Ộ => ộ
1EDA	1EDB	# Ớ => ớ
1EDC	1EDD	# Ờ => ờ
1EDE	1EDF	# Ở => ở
1EE0	1EE1	# Ỡ => ỡ
1EE2	1EE3	# Ợ => ợ
1EE4	1EE5	# Ụ => ụ
1EE6	1EE7	# Ủ => ủ
1EE8	1EE9	# Ứ => ứ
1EEA	1EEB	# Ừ => ừ
1EEC	1EED	# Ử => ử
1EEE	1EEF	# Ữ => ữ
1EF0	1EF1	# Ự => ự
1EF2	1EF3	# Ỳ => ỳ
1EF4	1EF5	# Ỵ => ỵ
1EF6	1EF7	# Ỷ => ỷ
1EF8	1EF9	# Ỹ => ỹ
1EFA	1EFB	# Ỻ => ỻ
1EFC	1EFD	# Ỽ => ỽ
1EFE	1EFF	# Ỿ => ỿ
1F08	1F00	# Ἀ => ἀ
1F09	1F01	# Ἁ => ἁ
1F0A	1F02	# Ἂ => ἂ
1F0B	1F03	# Ἃ => ἃ
1F0C	1F04	# Ἄ => ἄ
1F0D	1F05	# Ἅ => ἅ
1F0E	1F06	# Ἆ => ἆ
1F0F	1F07	# Ἇ => ἇ
1F18	1F10	# Ἐ => ἐ
1F19	1F11	# Ἑ => ἑ
1F1A	1F12	# Ἒ => ἒ
1F1B	1F13	# Ἓ => ἓ
1F1C	1F14	# Ἔ => ἔ
1F1D	1F15	# Ἕ => ἕ
1F28	1F20	# Ἠ => ἠ
1F29	1F21	# Ἡ => ἡ
1F2A	1F22	# Ἢ => ἢ
1F2B	1F23	# Ἣ => ἣ
1F2C	1F24	# Ἤ => ἤ
1F2D	1F25	# Ἥ => ἥ
1F2E	1F26	# Ἦ => ἦ
1F2F	1F27	# Ἧ => ἧ
1F38	1F30	# Ἰ => ἰ
1F39	1F31	# Ἱ => ἱ
1F3A	1F32	# Ἲ => ἲ
1F3B	1F33	# Ἳ => ἳ
1F3C	1F34	# Ἴ => ἴ
1F3D	1F35	# Ἵ => ἵ
1F3E	1F36	# Ἶ => ἶ
1F3F	1F37	# Ἷ => ἷ
1F48	1F40	# Ὀ => ὀ
1F49	1F41	# Ὁ => ὁ
1F4A	1F42	# Ὂ => ὂ
1F4B	1F43	# Ὃ => ὃ
1F4C	1F44	# Ὄ => ὄ
1F4D	1F45	# Ὅ => ὅ
1F59	1F51	# Ὑ => ὑ
1F5B	1F53	# Ὓ => ὓ
1F5D	1F55	# Ὕ => ὕ
1F5F	1F57	# Ὗ => ὗ
1F68	1F60	# Ὠ => ὠ
1F69	1F61	# Ὡ => ὡ
1F6A	1F62	# Ὢ => ὢ
1F6B	1F63	# Ὣ => ὣ
1F6C	1F64	# Ὤ => ὤ
1F6D	1F65	# Ὥ => ὥ
1F6E	1F66	# Ὦ => ὦ
1F6F	1F67	# Ὧ => ὧ
1FB8	1FB0	# Ᾰ => ᾰ
1FB9	1FB1	# Ᾱ => ᾱ
1FBA	1F70	# Ὰ => ὰ
1FBB	3AC	# Ά => ά
1FC8	1F72	# Ὲ => ὲ
1FC9	3AD	# Έ => έ
1FCA	1F74	# Ὴ => ὴ
1FCB	3AE	# Ή => ή
1FD8	1FD0	# Ῐ => ῐ
1FD9	1FD1	# Ῑ => ῑ
1FDA	1F76	# Ὶ => ὶ
1FDB	3AF	# Ί => ί
1FE8	1FE0	# Ῠ => ῠ
1FE9	1FE1	# Ῡ => ῡ
1FEA	1F7A	# Ὺ => ὺ
1FEB	3CD	# Ύ => ύ
1FEC	1FE5	# Ῥ => ῥ
1FF8	1F78	# Ὸ => ὸ
1FF9	3CC	# Ό => ό
1FFA	1F7C	# Ὼ => ὼ
1FFB	3CE	# Ώ => ώ
2102	63	# ℂ => c
2107	25B	# ℇ => ɛ
210B	68	# ℋ => h
210C	68	# ℌ => h
210D	68	# ℍ => h
2110	69	# ℐ => i
2111	69	# ℑ => i
2112	6C	# ℒ => l
2115	6E	# ℕ => n
2119	70	# ℙ => p
211A	71	# ℚ => q
211B	72	# ℛ => r
211C	72	# ℜ => r
211D	72	# ℝ => r
2124	7A	# ℤ => z
2126	3C9	# Ω => ω
2128	7A	# ℨ => z
212A	6B	# K => k
212B	E5	# Å => å
212C	62	# ℬ => b
212D	63	# ℭ => c
2130	65	# ℰ => e
2131	66	# ℱ => f
2132	214E	# Ⅎ => ⅎ
2133	6D	# ℳ => m
213E	3B3	# ℾ => γ
213F	3C0	# ℿ => π
2145	64	# ⅅ => d
2183	2184	# Ↄ => ↄ
2C00	2C30	# Ⰰ => ⰰ
2C01	2C31	# Ⰱ => ⰱ
2C02	2C32	# Ⰲ => ⰲ
2C03	2C33	# Ⰳ => ⰳ
2C04	2C34	# Ⰴ => ⰴ
2C05	2C35	# Ⰵ => ⰵ
2C06	2C36	# Ⰶ => ⰶ
2C07	2C37	# Ⰷ => ⰷ
2C08	2C38	# Ⰸ => ⰸ
2C09	2C39	# Ⰹ => ⰹ
2C0A	2C3A	# Ⰺ => ⰺ
2C0B	2C3B	# Ⰻ => ⰻ
2C0C	2C3C	# Ⰼ => ⰼ
2C0D	2C3D	# Ⰽ => ⰽ
2C0E	2C3E	# Ⰾ => ⰾ
2C0F	2C3F	# Ⰿ => ⰿ
2C10	2C40	# Ⱀ => ⱀ
2C11	2C41	# Ⱁ => ⱁ
2C12	2C42	# Ⱂ => ⱂ
2C13	2C43	# Ⱃ => ⱃ
2C14	2C44	# Ⱄ => ⱄ
2C15	2C45	# Ⱅ => ⱅ
2C16	2C46	# Ⱆ => ⱆ
2C17	2C47	# Ⱇ => ⱇ
2C18	2C48	# Ⱈ => ⱈ
2C19	2C49	# Ⱉ => ⱉ
2C1A	2C4A	# Ⱊ => ⱊ
2C1B	2C4B	# Ⱋ => ⱋ
2C1C	2C4C	# Ⱌ => ⱌ
2C1D	2C4D	# Ⱍ => ⱍ
2C1E	2C4E	# Ⱎ => ⱎ
2C1F	2C4F	# Ⱏ => ⱏ
2C20	2C50	# Ⱐ => ⱐ
2C21	2C51	# Ⱑ => ⱑ
2C22	2C52	# Ⱒ => ⱒ
2C23	2C53	# Ⱓ => ⱓ
2C24	2C54	# Ⱔ => ⱔ
2C25	2C55	# Ⱕ => ⱕ
2C26	2C56	# Ⱖ => ⱖ
2C27	2C57	# Ⱗ => ⱗ
2C28	2C58	# Ⱘ => ⱘ
2C29	2C59	# Ⱙ => ⱙ
2C2A	2C5A	# Ⱚ => ⱚ
2C2B	2C5B	# Ⱛ => ⱛ
2C2C	2C5C	# Ⱜ => ⱜ
2C2D	2C5D	# Ⱝ => ⱝ
2C2E	2C5E	# Ⱞ => ⱞ
2C60	2C61	# Ⱡ => ⱡ
2C62	26B	# Ɫ => ɫ
2C63	1D7D	# Ᵽ => ᵽ
2C64	27D	# Ɽ => ɽ
2C67	2C68	# Ⱨ => ⱨ
2C69	2C6A	# Ⱪ => ⱪ
2C6B	2C6C	# Ⱬ => ⱬ
2C6D	251	# Ɑ => ɑ
2C6E	271	# Ɱ => ɱ
2C6F	250	# Ɐ => ɐ
2C70	252	# Ɒ => ɒ
2C72	2C73	# Ⱳ => ⱳ
2C75	2C76	# Ⱶ => ⱶ
2C7E	23F	# Ȿ => ȿ
2C7F	240	# Ɀ => ɀ
2C80	2C81	# Ⲁ => ⲁ
2C82	2C83	# Ⲃ => ⲃ
2C84	2C85	# Ⲅ => ⲅ
2C86	2C87	# Ⲇ => ⲇ
2C88	2C89	# Ⲉ => ⲉ
2C8A	2C8B	# Ⲋ => ⲋ
2C8C	2C8D	# Ⲍ => ⲍ
2C8E	2C8F	# Ⲏ => ⲏ
